00021693915090JOAO DE PAULA                 SPSAO PAULO                     JOAO@GMAIL.COM                
11125466941034LARISSA DE OLIVEIRA           RJRIO DE JANEIRO                LARS@HOTMAIL.COM              
22250043755003BETH FARIA                    CECEARA                         BETH@YAHOO.COM                
33326361004074VITORIA DE SOUZA              BASALVADOR                      VITORIA@YAHOO.COM                       
44441149151099VICTOR BERNOUILLE             AMPALMEIRAS                     VICT@GMAIL.COM                
55589679152006DEBORA SECCO                  SPSAO PAULO                     DEBB@HOTMAIL.COM              
66626281083059LUCAS SALLES                  SCFLORIANOPOLIS                 STREET@FIGHTER.COM                           
77771092136096RYU AKUMA                     RSPORTOALEGRE                   RYUK@STREETFIGHTER.COM        
88825116626040PAULO RICARDO                 PACURITIBA                      RPM@RPM.COM                   
99959450973067RICARDO OLIVEIRA PINTO        SPSAO PAULO                     RICOP@PINTO.COM               
