001Patricia de Sabri             AAAAA
002Patricia de Sabri             CCCCC
003Akira Toriama                 BBBBB
004Akira Toriama                 DDDDD
005Maria do Carmo                AAAAA
006Maria do Carmo                CCCCC
007Felipe do Santos Silva        BBBBB
008Felipe do Santos Silva        DDDDD
009Jorge Augusto                 AAAAA
010Jorge Augusto                 CCCCC
011Maria Joaquina                BBBBB
012Maria Joaquina                DDDDD
013Alexandro Roberto             AAAAA
014Alexandro Roberto             CCCCC
015Fernanda Lima                 BBBBB
016Fernanda Lima                 DDDDD
017Rita de Cassia                AAAAA
018Regiane Alves                 BBBBB
018Rita de Cassia                CCCCC
020Regiane Alves                 DDDDD
