1110000000Patricia de Sabri             1000081007500650
1111111111Akira Toriama                 0600071002000700
2222222222Maria do Carmo                0370055006000370
2223333333Felipe do Santos Silva        0800083006000970
3334444444Jorge Augusto                 0900080007800820
1115555555Maria Joaquina                0320041005900400
3336666666Alexandro Roberto             0750063007600200
2227777777Fernanda Lima                 0800011006000580
1118888888Rita de Cassia                0940048009300100
3339999999Regiane Alves                 1000085008700000
